City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
201,Krasnyy Luch,UA,48.1395,38.9371,54.95,65,100,9.91,overcast clouds,2022-04-11 00:17:29
202,Kuloy,RU,61.0305,42.4925,32.38,94,100,4.25,overcast clouds,2022-04-11 00:17:29
203,Inirida,CO,3.8653,-67.9239,75.07,93,96,2.75,overcast clouds,2022-04-11 00:17:30
204,Kurtamysh,RU,54.9103,64.4319,39.56,72,99,11.39,overcast clouds,2022-04-11 00:17:30
205,Kaeo,NZ,-35.1,173.7833,70.32,72,100,10.67,overcast clouds,2022-04-11 00:17:30
206,Grindavik,IS,63.8424,-22.4338,37.35,75,100,17.27,overcast clouds,2022-04-11 00:17:31
207,Nyrob,RU,60.733,56.7202,37.4,99,100,6.87,overcast clouds,2022-04-11 00:17:31
208,Provideniya,RU,64.3833,-173.3,28.51,74,75,7.0,broken clouds,2022-04-11 00:17:31
209,Vallenar,CL,-28.5708,-70.7581,64.02,57,0,2.93,clear sky,2022-04-11 00:15:25
210,Kodiak,US,57.79,-152.4072,45.91,31,0,9.22,clear sky,2022-04-11 00:16:17
211,Port Hedland,AU,-20.3167,118.5667,82.45,65,0,8.05,clear sky,2022-04-11 00:17:32
212,Kalaleh,IR,37.3807,55.4916,49.6,93,40,0.0,scattered clouds,2022-04-11 00:17:33
213,Ukiah,US,39.1502,-123.2078,63.45,45,0,12.66,clear sky,2022-04-11 00:17:33
214,Bokaa,BW,-24.45,26.0167,59.65,95,100,10.47,overcast clouds,2022-04-11 00:17:34
215,Kilembe,UG,0.2,30.0,64.51,74,100,3.4,overcast clouds,2022-04-11 00:17:34
216,Montepuez,MZ,-13.1256,38.9997,66.87,99,4,3.65,clear sky,2022-04-11 00:17:34
217,Zhangjiakou,CN,40.81,114.8794,61.39,16,99,11.9,overcast clouds,2022-04-11 00:17:35
218,Sarangani,PH,5.4033,125.4636,82.51,79,96,20.98,overcast clouds,2022-04-11 00:17:35
219,Bitung,ID,1.4451,125.1824,85.05,74,82,13.69,broken clouds,2022-04-11 00:17:36
220,Jablah,SY,35.3614,35.9256,57.49,82,0,2.3,clear sky,2022-04-11 00:17:36
221,Tingi,TZ,-11.3,35.0333,62.28,96,55,3.89,broken clouds,2022-04-11 00:17:37
222,Espumoso,BR,-28.7247,-52.8497,68.83,77,100,1.05,overcast clouds,2022-04-11 00:17:37
223,Dubovskoye,RU,47.4092,42.7575,52.38,62,100,9.69,overcast clouds,2022-04-11 00:17:38
224,Nagato,JP,34.3833,131.2,63.19,71,99,14.74,overcast clouds,2022-04-11 00:17:38
225,Kashary,RU,49.04,41.0056,55.04,56,100,10.83,overcast clouds,2022-04-11 00:17:39
226,Saldanha,ZA,-33.0117,17.9442,66.85,50,4,7.52,clear sky,2022-04-11 00:17:39
227,Mingaora,PK,34.7758,72.3625,68.72,28,53,8.75,broken clouds,2022-04-11 00:17:39
228,Bairiki,KI,1.3292,172.9752,86.0,74,20,6.91,few clouds,2022-04-11 00:17:40
229,Sheltozero,RU,61.3667,35.3667,32.09,90,7,10.11,clear sky,2022-04-11 00:17:40
230,Bend,US,44.0582,-121.3153,42.66,59,40,7.0,scattered clouds,2022-04-11 00:15:09
231,Vila Velha,BR,-20.3297,-40.2925,78.75,83,0,6.91,clear sky,2022-04-11 00:17:41
232,Saskylakh,RU,71.9167,114.0833,-10.39,97,27,4.56,scattered clouds,2022-04-11 00:17:41
233,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,19.57,scattered clouds,2022-04-11 00:17:41
234,Cherskiy,RU,68.75,161.3,-6.45,88,100,7.25,overcast clouds,2022-04-11 00:18:42
235,Chifeng,CN,42.2683,118.9636,51.15,27,72,1.88,broken clouds,2022-04-11 00:18:01
236,Lahore,PK,31.5497,74.3436,76.98,53,6,0.0,smoke,2022-04-11 00:17:47
237,Chiplun,IN,17.5333,73.5167,75.52,92,100,2.73,overcast clouds,2022-04-11 00:18:42
238,Hermanus,ZA,-34.4187,19.2345,62.8,90,5,11.5,clear sky,2022-04-11 00:16:38
239,Lotofaga,WS,-13.9764,-171.8578,89.38,74,19,9.66,few clouds,2022-04-11 00:18:43
240,Beni,CD,0.5,29.4667,62.83,98,100,1.39,light rain,2022-04-11 00:18:43
241,Igarka,RU,67.4667,86.5833,-16.67,100,95,4.99,overcast clouds,2022-04-11 00:18:43
242,Canon City,US,38.441,-105.2424,60.67,7,0,27.63,clear sky,2022-04-11 00:18:44
243,Vilyuysk,RU,63.7553,121.6247,10.98,94,79,3.31,broken clouds,2022-04-11 00:18:44
244,Biloela,AU,-24.4167,150.5,82.94,42,0,11.16,clear sky,2022-04-11 00:18:44
245,Tiksi,RU,71.6872,128.8694,-6.07,93,99,1.95,overcast clouds,2022-04-11 00:18:45
246,Cabo Rojo,PR,18.0866,-67.1457,79.92,80,87,5.68,overcast clouds,2022-04-11 00:18:45
247,Bilibino,RU,68.0546,166.4372,-3.42,84,100,14.03,overcast clouds,2022-04-11 00:18:12
248,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,90,0,3.44,clear sky,2022-04-11 00:18:46
249,Uniao,BR,-4.5858,-42.8642,73.29,98,80,3.74,moderate rain,2022-04-11 00:18:46
250,Kattivakkam,IN,13.2167,80.3167,84.07,83,85,2.71,overcast clouds,2022-04-11 00:18:47
251,Mareeba,AU,-17.0,145.4333,84.67,80,50,6.76,scattered clouds,2022-04-11 00:18:47
252,Caravelas,BR,-17.7125,-39.2481,78.1,84,40,6.89,scattered clouds,2022-04-11 00:18:47
253,Garissa,KE,-0.4536,39.6401,79.56,71,77,14.52,broken clouds,2022-04-11 00:18:48
254,Kisanga,TZ,-7.4362,37.7034,73.76,91,94,1.57,overcast clouds,2022-04-11 00:18:48
